matchOrder,score,TARGET
1,0.27652896278949524,my,,my,nt,mt,mr,ny,ne,not,me,mg,no,jr,md,je,ms,na,ma,j,m,n,k,knew,mm,ml,km,mi,mo,kg,ni,nj,nm,jo,may,new,jim,man,need,men,now,jan,jazz,news,med,max,keen,ken,mac,non,mrs,job,mass,map,mill,mar,mud,mom,noon,kid,nay,nat,mao,kin,mat,null,next,mad,moon,mss,manager,nov,main,mon,kill,keep,key,nor,nous,mob,miss,nuts,kinds,met,meet,mind,mask,nos,mid,mood,mess,kings,mann,min,kids,methyl,moss,jet,king,mix,jew,noun,jaw
3,0.0809754238314283,watch,,way,war,watch,est,arch,ward,exp,atom,echo,and,a,sum,watson,as,see,sun,sex,sin,sub,aim,arc,app,was,at,eat,with,still,auf,easy,all,we,are,sunk,school,ear,wars,will,so,warn,east,award,an,aid,soon,son,sink,away,ways,who,ego,sci,arm,warm,aus,shall,et,al,st,wall,add,arts,were,sec,ad,sees,win,seed,se,si,ah,eq,starts,au,er,sa,esq,wool,assertion,eu,ein,ass,sigh,sp,ag,ar,su,ap,ai,sr,wagon,west,audio,strata,sic,aux,soc,aaron,six,whom,awful
2,0.11115454678814395,fell,,feel,fell,den,degree,dem,the,dwell,gel,cell,del,can,to,van,green,from,verb,deed,dec,that,germ,for,der,deer,fee,veil,calm,fresh,feet,desk,deal,vein,deep,dei,call,they,cal,feed,fed,get,this,cash,grim,tell,red,ten,freedom,rev,tel,dan,fan,fax,dam,reed,ref,very,ted,greek,deck,verbal,than,two,gross,ferry,feels,thy,dean,grid,grip,cells,thee,deputy,themes,these,tax,time,vain,della,decay,theme,rebel,them,dna,fred,freed,gram,real,report,fall,try,gas,car,tree,then,free,deaf,defend,territory,card,gets,trip
2,0.04464666938814219,in,,of,in,is,on,i,if,us,j,u,ii,o,k,iii,ones,iv,oh,un,id,ix,im,km,inn,ok,os,ib,ia,intra,it,or,one,its,up,off,ill,il,uk,um,ol,old,odd,jr,knew,je,op,usa,kg,ours,ou,ot,ip,ut,ir,ieee,jo,once,und,jim,una,idea,une,ice,kim,ing,int,kid,ins,kin,ides
1,0.19149990488845609,the,,the,thee,theme,themes,to,rna,that,thy,for,threw,fee,time,they,germ,role,rolled,fled,tune,times,fall,tree,rule,from,roles,ruled,you,rules,rome,tube,ring,rubbed,green,fly,tubes,this,ruins,rooms,flung,trend,range,runs,than,gel,take,your,feed,fed,fees,tale,tales,feel,takes,ranges,rang,ranged,fell,rolling,yale,free,find,flux,fine,type,told,true,types,tell,young,red,ten,tools,root,route,row,tied,yours,tour,trees,ties,tie,rows,rope,tennessee,roy,tomb,rage,routes,rolls,rooted,rites,torture,tenderness,rupture,tours,ripe,gamma,toes,toe,rue,toy
1,0.06695505780556041,water,,water,april,appeal,export,expert,speak,spread,easier,and,effort,stewart,street,sort,sorry,sports,sport,sorts,soup,with,was,waters,auto,sierra,steal,are,edition,efforts,symptom,easter,exotic,step,strip,expression,steep,exports,experts,which,stern,explain,were,worth,sister,writers,streets,stretch,sperm,addition,spell,security,stem,esteem,adoption,spinal,staff,areas,after,warren,also,summer,when,syria,again,such,arrest,short,empty,axial,what,singer,she,would,support,showed,shorter,some,steps,appear,who,soul,appears,shower,appeared,simpler,steel,arab,work,seas,susan,attain,strips,surg,speech,supper,superiority,super,abortion,story,spain,artery,about
1,0.44526856773252693,prevailing,,prevailing,prevailed,politics,political,observed,presents,presented,prestige,presence,precedent,observes,program,preserve,prevalent,pointing,preserved,practice,prevent,problem,patient,performed,peasants,possessions,limestone,parents,longing,positive,pursuant,president,perhaps,language,patients,persons,observer,precautions,provide,produced,prophet,personal,provided,prentice,partners,lifestyle,pretended,ourselves,prevalence,practices,physics,produce,literally,properly,problems,learning,oriented,primarily,payment,prophets,private,physical,patents,organization,progressive,perceived,prescribed,presentation,performs,prevents,probably,peculiar,offensive,officers,profession,practiced,perceive,offender,perfect,progression,programs,original,presently,prevented,preference,procession,portfolio,ongoing,observers,lifting,positions,provides,predominant,licence,prominent,preferences,predecessor,operating,ordered,potential,perfectly,ordinance,particular
1,0.10290204366333575,wind,,wind,edge,and,she,shed,alex,edges,wales,eagle,eine,asked,wake,washed,ashes,wine,age,ages,wages,wage,aged,with,wealth,wing,weekly,adding,ally,sky,went,were,agreed,as,agree,agrees,assent,was,some,added,allen,sins,aims,are,skull,aimed,ali,word,quite,eyes,skin,europe,anne,wrote,write,eye,error,walls,wild,walk,que,quoted,errors,wire,writes,wore,adds,asks,winds,wit,wolf,quote,quit,walks,alaska,eyed,als,writ,wills,quotes,ere,wiped,etiquette,women,at,sung,shy,wayne,wound,skill,sums,ave,skins,assumed,assume,sing,wang,assumes,when,sheds,excess,exceed,anna
1,0.11088491403047934,from,,from,very,veil,der,deer,ferry,fresh,grip,the,calm,desk,deal,dei,feet,deep,deputy,vein,call,cal,to,get,cash,grim,freedom,that,deck,they,verbal,for,degree,can,dem,feel,fell,gross,den,dwell,cell,del,grid,gel,vain,two,decay,van,this,green,real,report,try,gas,carry,car,territory,cast,card,gets,trip,desert,das,cat,dad,verb,deed,rep,reporter,twin,cart,cap,carol,terry,dallas,dec,var,grey,vary,germ,these,dewey,vast,fewer,than,grows,fearful,grouped,cautious,grow,fee,depth,fruit,deals,deputies,throw,throws,recall,depot,teeth,calls,case,gain
1,0.13430528969464708,east,,east,easy,rail,eat,ray,ear,was,rat,echo,see,with,way,war,earth,watch,est,ward,exp,still,radius,we,earn,rain,school,who,sum,raid,will,so,watson,ears,sun,sex,sin,sub,ego,dull,dim,do,sci,sunk,rays,were,dug,warm,rats,des,sink,sec,ratio,seed,radio,starts,warn,esq,did,dig,what,wars,day,dog,soon,raw,son,each,say,shall,ways,essex,strata,et,sail,whom,don,saw,dis,room,rest,dos,st,run,evil,sat,such,wall,re,earl,said,essay,reward,du,west,di,se,sees,win,si,da,roll,dr
