the	53097503134
of	30966277550
and	22631938946
to	19347658561
in	16890951519
a	15309230781
is	8383834397
that	8000957829
for	6545254549
it	5739932071
as	5700030822
was	5502830442
with	5182923599
be	4818775490
by	4702826721
on	4594977806
not	4523188181
he	4110367240
i	3880648570
this	3826378960
are	3700388965
or	3667899550
his	3611353653
from	3468925939
at	3413429590
which	3140239565
but	2792302859
have	2777385906
an	2726231355
had	2616007005
they	2462139161
you	2337949973
were	2270555783
their	2152980856
one	2149642927
all	2062707379
we	2057320905
can	1665347925
her	1633267931
has	1632123809
there	1624244069
been	1619031543
if	1564857987
more	1547532368
no	1523884795
when	1519744119
will	1485389920
would	1472836063
who	1464614226
so	1450106985
she	1392698336
other	1383819631
its	1369424787
may	1318142905
these	1305836227
what	1222540867
them	1202374074
than	1185022042
some	1182328406
him	1180752655
time	1169490715
into	1144185913
only	1135390854
do	1116522076
such	1100165437
my	1082311291
new	1073347419
about	1070844019
out	1048700897
also	1038600101
two	1034229496
any	983638004
up	975729504
first	923098137
could	886885769
our	874965710
then	872841273
most	860988110
see	846612332
me	819996716
should	814260957
after	802183648
s	794128693
said	758235813
your	750770724
very	746876848
between	744039216
made	738031565
many	732716090
over	715657645
like	709965268
those	691669896
did	689803361
now	679448266
even	677497511
well	676128069
where	671648884
must	663004752
people	659587578
through	647131597
how	630014509
same	624731121
work	622793170
p	617689713
being	616167511
because	612314334
man	609538347
life	608619100
before	605140486
much	601326483
each	601274576
under	585614993
years	564769256
way	560314391
great	557140555
state	554535432
both	543769665
use	536136764
upon	532501471
own	524607646
used	524349723
however	519195928
us	517412159
part	515992787
good	509912709
world	507053871
make	502843974
three	487851399
while	483458151
long	477430812
day	470940320
without	465599871
men	454777905
just	454183808
general	450570969
during	448162304
another	444690369
little	442885501
found	436590801
here	432265488
system	430197630
j	428062823
does	426663147
de	424247131
down	422521604
number	421764751
case	416131391
against	410431100
might	409571792
still	408284608
back	406534858
right	405997789
know	405620352
place	401960397
m	396513809
every	393303183
government	390618494
too	387951595
