matchOrder,score,procTime,TARGET
1,0.29831777123779274,0.17258524894714355,my,,my,nt,mt,mr,ny,ne,me,not,mg,no,jr,md,je,ms,na,ma,j,m,n,k,knew,mm,ml,km,mi,mo,kg,ni,nj,nm,jo,may,new,jim,king,kind,man,now,mrs,mass,mud,men,kid,kin,mss,need,knee,mess,mann,june,non,kinds,killed,next,kings,kim,jan,news,kids,job,jew,jazz,kit,mind,med,max,nor,main,map,mill,kiss,keen,mar,ken,mac,keep,mom,noon,nay,nat,mao,null,mat,mad,moon,manager,key,nation,met,meet,nov,miss,notes,mon,noted,noun,jaw,jay,jar,jail
3,0.08987051821601863,0.12680292129516602,watch,,way,war,watch,est,arch,ward,exp,atom,echo,and,a,sum,watson,see,as,sun,sex,sin,sub,aim,arc,app,at,still,was,with,all,we,will,so,an,are,sunk,shall,et,al,st,ask,wall,add,writer,weak,quiet,ad,win,se,wet,si,ah,qui,worry,wash,eq,esq,er,sa,au,wool,assertion,eu,ash,query,alas,ein,shah,ass,quo,sigh,sp,ag,ar,su,ap,ai,sr,sink,were,who,audio,award,aaron,well,away,sq,am,s,she,ed,en,art,west,el,ann,egg,em,ac,ab,ec,sc,av
2,0.1476809241247839,0.3427119255065918,fell,,feel,fell,den,degree,dem,dwell,the,gel,cell,del,to,can,from,van,get,call,feet,that,der,cash,calm,vein,deer,cal,ferry,grim,green,very,verb,veil,fresh,grip,for,desk,deal,deed,dec,dei,deep,deputy,germ,vain,freedom,deck,gain,day,resin,far,two,test,rest,text,fat,card,raw,catch,gap,gay,reward,gdp,thai,this,fail,they,cast,vast,real,report,case,try,gas,car,territory,trip,das,dad,cat,rep,reporter,twin,terry,dallas,cap,var,carbon,feed,fed,grasp,dear,great,cargo,camp,textbook,greasy,free,gray,feast,canon,cannon,feels
2,0.04464666938814219,0.020476341247558594,in,,of,in,is,on,i,if,us,j,u,ii,o,k,iii,ones,iv,oh,un,id,ix,im,km,inn,ok,os,ib,ia,intra,it,or,one,its,up,off,ill,il,uk,um,ol,old,odd,jr,knew,je,op,usa,kg,ours,ou,ot,ip,ut,ir,ieee,jo,once,und,jim,una,idea,une,ice,kim,ing,int,kid,ins,kin,ides
1,0.22742793644430787,0.202653169631958,the,,the,thee,themes,theme,rna,to,threw,that,for,you,thy,your,this,type,told,types,tools,root,route,row,tired,tied,yours,tour,ties,tie,rows,rope,roy,tomb,routes,rolls,rooted,rites,torture,rupture,tours,ripe,toes,toe,rue,toy,tire,rod,rid,ross,tips,tis,tops,toss,roof,thin,time,rob,ton,fox,they,fix,runs,tin,from,rode,rooms,ride,tide,fin,ruins,rude,fig,rice,round,them,fog,tony,five,times,role,rife,young,tiny,tion,fibres,rolled,fled,tune,roles,rome,good,than,three,then,food,give,tube,ring,rubbed,fly,god,gone,topic
1,0.08799732377696363,0.5150241851806641,water,,water,april,appeal,export,expert,speak,and,easier,effort,stewart,was,with,street,sort,sorry,are,soup,explain,which,exceed,exceeded,starch,stat,station,exist,spell,auto,stretch,soap,stem,esteem,star,women,steal,stay,stain,warren,woman,stern,attain,when,spain,were,such,step,waist,appear,strip,appears,steep,appeared,surg,search,soul,arrest,spared,array,excuse,strain,stresses,stressed,warsaw,shell,also,expect,austin,exposed,straw,expose,solar,soft,she,after,staff,seat,worth,would,writers,allen,seas,speech,summer,stuck,what,singer,some,steel,sleep,sheet,sich,again,sheer,wiley,sperm,who,work,admission,alert,wallet,affect
1,0.5299874019657986,0.23148488998413086,prevailing,,prevailing,prevailed,presented,prestige,presence,presents,potatoes,precedent,predecessor,pointing,preserve,perhaps,political,observed,limestone,observes,possessions,politics,previous,predecessors,ourselves,practice,ordered,private,produced,precipitation,provide,president,prescribed,protection,persons,provided,program,problem,produce,longing,prevent,prentice,lifting,particular,liberals,popularity,patient,potential,pragmatic,observer,problems,language,october,probably,protective,presentation,protecting,preserved,literature,positive,profession,liverpool,primarily,officers,provides,prevalent,production,properly,progressive,located,premature,produces,princeton,licence,practices,projection,leaders,prophets,projects,personal,precisely,progression,offenders,portrait,prophetic,preparing,perfectly,lawyers,lifestyle,principal,projections,patients,perceived,procedure,offensive,opinion,product,physical,possessed,preference,peculiar,professions,patterns,parents
1,0.11188747571347471,0.2765390872955322,wind,,wind,admits,edge,she,and,shed,alex,edges,wales,eagle,eine,wake,wine,age,ages,wages,wage,aged,with,wing,weekly,ethnic,adding,ally,sky,went,want,agreed,agree,were,agrees,wanted,assent,wang,any,ave,as,added,are,skull,was,ali,words,word,quite,eyes,skin,anne,europe,wrote,write,eye,error,walls,wild,walk,que,quoted,errors,wire,writes,wore,adds,asks,winds,wit,wolf,wounds,quote,spin,quit,walks,alaska,wires,eyed,als,writ,wills,quotes,ere,apex,wiped,etiquette,anglo,shy,aims,sins,why,skill,south,show,shows,some,address,sums,stress,speed,shot,wait,sites
1,0.17771407739496586,0.36462998390197754,from,,from,very,veil,der,deer,ferry,fresh,grip,the,calm,desk,deal,dei,feet,deep,deputy,vein,to,call,cal,freedom,deck,get,degree,cell,card,del,catch,dem,vain,feel,fell,dwell,den,cash,grim,that,can,gel,carbon,for,cargo,van,textbook,green,verb,day,cast,far,fail,this,test,rest,text,they,fat,gap,gay,reward,deed,gdp,thai,dec,germ,two,vast,gain,resin,raw,gross,cart,carol,carry,case,vary,grid,real,report,try,these,gas,car,territory,trip,desert,das,cat,dad,rep,cap,reporter,twin,fatty,gary,terry,dallas,var,feed,fed,free
1,0.2207268527485356,0.30694031715393066,east,,east,eat,ray,ear,easy,rat,rail,was,rain,with,essex,ratio,radio,who,real,report,equity,sad,das,dad,rep,reporter,dallas,salad,ran,ram,wax,we,school,ego,red,were,will,san,rev,so,sam,dan,dam,reed,ref,raw,day,sci,resin,danger,when,say,do,earn,saw,rest,what,sat,essay,see,reward,deed,dec,ease,sail,each,such,earth,whom,daddy,way,she,sank,damp,rabbi,rear,de,still,rank,even,well,shall,war,rebel,some,et,reason,said,read,recall,saxon,room,dear,ears,st,run,same,degree,ed,rays,wall,sun,re,radius
